userid,pageid,bias_rating,bias_tag,count_tag,differ_rating,differ_tag,num_neg_bias_rating,num_pos_bias_rating,num_pos_bias_tag,sum_chars,sum_chars_neg_bias_rating,sum_chars_pos_bias_rating,sum_chars_pos_bias_tag,sum_neg_bias_rating,sum_pos_bias_rating,sum_pos_bias_tag,sum_weighted_neg_bias_rating,sum_weighted_pos_bias_rating,sum_weighted_pos_bias_tag,weighted_bias_rating,weighted_bias_tag,weighted_differ_rating,weighted_differ_tag
9,685,15.0714285714,1.0,86,15.0714285714,1.0,0,37,1,4231,0,3396,168,0,15.0714285714,1.0,0,1676.5,168.0,1676.5,168.0,1676.5,168.0
9,698,9.625,0.0,130,9.625,0.0,0,26,0,13138,0,1926,0,0,9.625,0,0,716.5,0,716.5,0.0,716.5,0.0
9,713,-41.75,-32.0,144,46.75,34.0,85,6,1,6736,4005,648,35,-44.25,2.5,1.0,-4699.875,195.625,35.0,-4504.25,-5559.0,4895.5,5629.0
9,723,0.0,0.0,373,0.0,0.0,0,0,0,11867,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,765,-2.22044604925e-16,1.0,20,4.18181818182,3.0,5,4,2,3969,103,80,43,-2.09090909091,2.09090909091,2.0,-45.9090909091,44.2727272727,43.0,-1.63636363636,20.0,90.1818181818,66.0
9,777,29.5,20.0,316,32.0,20.0,5,56,16,25502,243,1966,1088,-1.25,30.75,20.0,-60.75,1890.375,1529.0,1829.625,1529.0,1951.125,1529.0
9,781,0.909090909091,0.0,17,1.63636363636,0.0,1,4,0,3260,88,396,0,-0.363636363636,1.27272727273,0,-32.0,65.5454545455,0,33.5454545455,0.0,97.5454545455,0.0
9,787,74.3333333333,-2.0,339,83.0,10.0,9,242,4,23130,388,16292,377,-4.33333333333,78.6666666667,4.0,-239.333333333,5536.16666667,377.0,5296.83333333,42.0,5775.5,712.0
9,792,2.57142857143,2.0,59,7.14285714286,4.0,7,8,3,4363,141,83,38,-2.28571428571,4.85714285714,3.0,-38.8571428571,54.2857142857,38.0,15.4285714286,17.0,93.1428571429,59.0
9,794,11.9,11.0,59,15.3,13.0,12,25,12,11029,2409,2256,1147,-1.7,13.6,12.0,-303.9,1335.6,1147.0,1031.7,1021.0,1639.5,1273.0
9,804,-0.714285714286,-1.0,41,0.714285714286,1.0,1,0,0,3310,30,0,0,-0.714285714286,0,0,-21.4285714286,0,0,-21.4285714286,-30.0,21.4285714286,30.0
9,821,-0.571428571429,0.0,23,0.571428571429,0.0,3,0,0,4472,270,0,0,-0.571428571429,0,0,-49.4285714286,0,0,-49.4285714286,0.0,49.4285714286,0.0
